ambiente;setor;face;area_liquida_m2;nivel_privacidade;acessivel
REQ-01-01;SEC-01;street;10.00;1;nao
REQ-01-02;SEC-01;street;15.00;1;nao
REQ-01-03;SEC-01;street;12.00;1;nao
REQ-01-04;SEC-01;street;10.00;1;nao
REQ-01-05;SEC-01;street;6.00;1;nao
REQ-02-01#1;SEC-02;patio;10.00;5;nao
REQ-02-01#2;SEC-02;patio;10.00;5;nao
REQ-02-02#1;SEC-02;patio;12.00;5;nao
REQ-02-02#2;SEC-02;patio;12.00;5;nao
REQ-02-02#3;SEC-02;patio;12.00;5;nao
REQ-02-03#1;SEC-02;patio;15.00;5;nao
REQ-02-03#2;SEC-02;patio;15.00;5;nao
REQ-02-04;SEC-02;patio;18.00;5;nao
REQ-02-05;SEC-02;patio;16.00;5;sim
REQ-02-06#1;SEC-02;patio;3.50;5;nao
REQ-02-06#2;SEC-02;patio;3.50;5;nao
REQ-02-06#3;SEC-02;patio;3.50;5;nao
REQ-02-06#4;SEC-02;patio;3.50;5;nao
REQ-02-06#5;SEC-02;patio;3.50;5;nao
REQ-02-07;SEC-02;patio;4.50;5;sim
REQ-02-08;SEC-02;patio;30.00;5;nao
REQ-02-09;SEC-02;patio;25.00;5;nao
REQ-02-10;SEC-02;patio;12.00;5;nao
REQ-03-01;SEC-03;patio;24.00;4;nao
REQ-03-02;SEC-03;patio;18.00;4;nao
REQ-03-03;SEC-03;patio;6.00;4;nao
REQ-03-04;SEC-03;patio;4.00;4;nao
REQ-04-01;SEC-04;patio;10.00;3;nao
REQ-04-02;SEC-04;patio;10.00;3;nao
REQ-04-03;SEC-04;patio;10.00;3;nao
REQ-04-04;SEC-04;patio;15.00;3;nao
REQ-04-05;SEC-04;patio;30.00;3;nao
REQ-04-06;SEC-04;patio;5.00;3;nao
REQ-05-01;SEC-05;street;60.00;2;nao
REQ-05-02;SEC-05;street;8.00;2;nao
REQ-05-03;SEC-05;street;8.00;2;nao
REQ-05-04;SEC-05;street;5.00;2;sim
REQ-06-01;SEC-06;street;10.00;2;nao
REQ-06-02;SEC-06;street;12.00;2;nao
REQ-06-03;SEC-06;street;15.00;2;nao
REQ-06-04;SEC-06;street;15.00;2;nao
REQ-06-05;SEC-06;street;10.00;2;nao
REQ-06-06;SEC-06;street;25.00;2;nao
REQ-06-07;SEC-06;street;6.00;2;nao
REQ-06-08;SEC-06;street;4.00;2;nao
REQ-06-09;SEC-06;street;12.00;2;nao
REQ-06-10;SEC-06;street;6.00;2;nao
REQ-06-11;SEC-06;street;8.00;2;nao
REQ-06-12;SEC-06;street;6.00;2;nao
REQ-06-13;SEC-06;street;3.00;2;nao
REQ-06-14;SEC-06;street;15.00;2;nao
REQ-06-15;SEC-06;street;4.00;2;nao
